0voice___interview_internal_reference,0
30-seconds___30-seconds-of-python,0
3b1b___videos,1
4ra1n___JavaSecInterview,0
AberHu___Knowledge-Distillation-Zoo,1
AnthonyCalandra___modern-cpp-features,0
AntonVanke___JDBrandMember,1
Blazemeter___taurus,0
ChihebTrabelsi___deep_complex_networks,1
ColinDuquesnoy___QDarkStyleSheet,1
CryptoSignal___Crypto-Signal,1
Cysu___open-reid,1
DeepLabCut___DeepLabCut,1
EONRaider___Packet-Sniffer,1
EZFNDEV___EZFN-Lobbybot,0
EarToEarOak___RTLSDR-Scanner,1
EscVM___OIDv4_ToolKit,0
ExpDev07___coronavirus-tracker-api,1
FeeiCN___GSIL,1
GeorgeFilipkin___pulsemixer,0
Hiroshiba___become-yukarin,1
HuobiRDCenter___huobi_Python,1
INTERMT___Awesome-PyTorch-Chinese,0
InstaPy___InstaPy,1
JeremyCCHsu___Python-Wrapper-for-World-Vocoder,1
JiahuiYu___generative_inpainting,1
Kilian___Trimage,1
Kludex___awesome-fastapi-projects,1
Lyken17___pytorch-OpCounter,1
MSiam___TFSegmentation,1
MarkPKCollier___NeuralTuringMachine,1
Megvii-BaseDetection___YOLOX,1
MilesCranmer___PySR,1
NCSC-NL___log4shell,1
NVIDIA___pix2pixHD,1
PaddlePaddle___ERNIE,1
Parsely___streamparse,1
PyCQA___redbaron,1
ReceiptManager___receipt-parser-legacy,1
Rhynorater___CVE-2018-15473-Exploit,1
Rudrabha___Wav2Lip,1
RunaCapital___awesome-oss-alternatives,0
SJang1___2021-korea-covid-19-remaining-vaccine-macro,1
SmileyChris___django-countries,1
Telefonica___HomePWN,1
ThilinaRajapakse___simpletransformers,1
Thinklab-SJTU___awesome-ml4co,0
TryCatchHCF___PacketWhisper,0
VISWESWARAN1998___Simple-Yet-Hackable-WhatsApp-api,1
WIKI2020___FacePose_pytorch,1
XifengGuo___CapsNet-Keras,1
Yggdroot___LeaderF,1
abhiTronix___vidgear,1
adferrand___dnsrobocert,1
akanazawa___hmr,1
allenai___scitldr,1
amdegroot___ssd.pytorch,1
amundsen-io___amundsen,0
apachecn___ailearning,1
arc298___instagram-scraper,1
argusswift___YOLOv4-pytorch,1
arielf___weight-loss,0
ashnkumar___sketch-code,1
astorfi___Deep-Learning-Roadmap,0
audreyfeldroy___cookiecutter-pypackage,1
awesto___django-shop,1
aws-cloudformation___cfn-lint,1
awslabs___aws-shell,1
basveeling___wavenet,1
bayesiains___nflows,1
behave___behave,1
benedekrozemberczki___awesome-decision-tree-papers,0
benedekrozemberczki___awesome-graph-classification,0
blaze___blaze,1
bleachbit___bleachbit,1
boltgolt___howdy,1
brendan-rius___jupyter-c-kernel,1
bsmali4___xssfork,1
bulletmark___libinput-gestures,0
buriburisuri___ByteNet,1
catalyst-team___catalyst,1
ccontavalli___ssh-ident,0
cdeweyx___DS-Career-Resources,0
census-instrumentation___opencensus-python,1
charlax___professional-programming,0
chen310___NeteaseCloudMusicTasks,1
chilcote___outset,0
christabor___flask_jsondash,1
claytonjn___hass-circadian_lighting,1
cleinc___bts,1
cloudtools___troposphere,1
commaai___research,1
d2l-ai___d2l-zh,1
david-gpu___srez,1
dbolya___yolact,1
deanishe___alfred-workflow,1
deepjyoti30___ytmdl,1
deepmind___alphafold,1
deepmind___learning-to-learn,1
deltaflyer4747___Xiaomi_Yi,0
derrod___legendary,1
dimagi___commcare-hq,1
disposable___disposable,0
django-extensions___django-extensions,1
dji-sdk___Tello-Python,1
dlunion___DBFace,1
dongjun-Lee___text-summarization-tensorflow,1
donnemartin___dev-setup,0
dwisiswant0___apkleaks,0
dwyl___english-words,1
eclipse___paho.mqtt.python,1
elastic___curator,1
elastic___elasticsearch-dsl-py,1
eliemichel___MapsModelsImporter,1
encode___uvicorn,1
ethereum___consensus-specs,1
eudicots___Cactus,1
facebookresearch___GENRE,1
facebookresearch___WSL-Images,1
facebookresearch___demucs,1
facebookresearch___dino,1
facebookresearch___torchbeast,1
fagga___transmission-remote-cli,0
fatchord___WaveRNN,1
fendouai___Awesome-TensorFlow-Chinese,0
fighting41love___funNLP,0
firstlookmedia___pdf-redact-tools,0
fontworks-fonts___Klee,1
fossasia___x-mario-center,1
gabrielfalcao___sure,1
geatpy-dev___geatpy,1
geopandas___geopandas,1
getsentry___freight,1
geventhttpclient___geventhttpclient,1
ggordan___GutterColor,1
gidariss___FewShotWithoutForgetting,1
githublitao___api_automation_test,1
gitless-vcs___gitless,1
gmarull___qtmodern,0
google___hypernerf,1
google___osv,1
greatscottgadgets___luna,1
grimoire___mmdetection-to-tensorrt,1
gwding___draw_convnet,1
hanbt___learn_dl,1
heykarimoff___solid.python,0
hoochanlon___w3-goto-world,0
